赛季,周数,选手名,裁判总分,估计粉丝票,死忠粉票,路人票,路人票占比,组合得分,预测淘汰,实际淘汰,预测正确
1,1,Evander Holyfield,18.0,6565.0,591.0,5974.0,0.09,7.5,False,False,False
1,1,Joey McIntyre,20.0,7732.0,1079.0,6653.0,0.139,4.0,False,False,False
1,1,John O'Hurley,20.0,8348.0,1227.0,7121.0,0.147,3.0,False,False,False
1,1,Kelly Monaco,13.0,4085.0,244.0,3841.0,0.06,10.0,False,False,False
1,1,Rachel Hunter,20.0,2742.0,1231.0,1511.0,0.449,7.0,False,False,False
1,1,Trista Sutter,18.0,1398.0,553.0,844.0,0.396,10.5,True,False,False
1,2,Evander Holyfield,14.0,7760.0,253.0,7506.0,0.033,8.0,False,False,True
1,2,Joey McIntyre,21.0,4299.0,1100.0,3199.0,0.256,7.0,False,False,True
1,2,John O'Hurley,26.0,7067.0,1567.0,5500.0,0.222,4.0,False,False,True
1,2,Kelly Monaco,17.0,8372.0,534.0,7838.0,0.064,6.0,False,False,True
1,2,Rachel Hunter,24.0,2955.0,1277.0,1678.0,0.432,7.0,False,False,True
1,2,Trista Sutter,19.0,1917.0,711.0,1206.0,0.371,10.0,True,True,True
1,3,Evander Holyfield,13.0,5416.0,358.0,5058.0,0.066,9.0,True,True,True
1,3,Joey McIntyre,22.0,7145.0,1084.0,6061.0,0.152,4.0,False,False,True
1,3,John O'Hurley,24.0,6973.0,1450.0,5523.0,0.208,4.0,False,False,True
1,3,Kelly Monaco,21.0,5614.0,782.0,4832.0,0.139,7.0,False,False,True
1,3,Rachel Hunter,26.0,3559.0,1908.0,1651.0,0.536,6.0,False,False,True
1,4,Joey McIntyre,20.0,8219.0,588.0,7631.0,0.072,5.0,False,False,True
1,4,John O'Hurley,21.0,7974.0,1234.0,6740.0,0.155,5.0,False,False,True
1,4,Kelly Monaco,26.0,7125.0,2502.0,4624.0,0.351,4.0,False,False,True
1,4,Rachel Hunter,25.0,3128.0,1773.0,1356.0,0.567,6.0,True,True,True
1,5,Joey McIntyre,22.5,7589.0,1107.0,6483.0,0.146,5.0,True,True,True
1,5,John O'Hurley,27.0,7914.0,3064.0,4850.0,0.387,2.0,False,False,True
1,5,Kelly Monaco,23.5,6876.0,2111.0,4765.0,0.307,5.0,False,False,True
1,6,John O'Hurley,27.0,6607.0,2376.0,4232.0,0.36,4.0,True,False,False
1,6,Kelly Monaco,27.5,9297.0,4459.0,4839.0,0.48,2.0,False,False,False
2,1,Drew Lachey,24.0,3237.0,2019.0,1218.0,0.624,8.0,False,False,True
2,1,George Hamilton,18.0,9642.0,605.0,9037.0,0.063,9.0,False,False,True
2,1,Giselle Fernandez,23.0,4327.0,1798.0,2529.0,0.415,6.5,False,False,True
2,1,Jerry Rice,21.0,5581.0,1229.0,4352.0,0.22,7.0,False,False,True
2,1,Kenny Mayne,13.0,2050.0,395.0,1655.0,0.193,19.0,True,True,True
2,1,Lisa Rinna,19.0,3994.0,809.0,3185.0,0.203,12.0,False,False,True
2,1,Master P,12.0,2263.0,205.0,2058.0,0.091,19.0,False,False,True
2,1,Stacy Keibler,22.0,4625.0,1403.0,3222.0,0.303,7.0,False,False,True
2,1,Tatum O'Neal,23.0,2895.0,1747.0,1148.0,0.603,10.5,False,False,True
2,1,Tia Carrere,20.0,3958.0,1041.0,2917.0,0.263,12.0,False,False,True
2,2,Drew Lachey,27.0,3732.0,2134.0,1599.0,0.572,10.0,False,False,True
2,2,George Hamilton,22.0,6839.0,1193.0,5646.0,0.174,6.5,False,False,True
2,2,Giselle Fernandez,24.0,3813.0,1767.0,2046.0,0.463,9.0,False,False,True
2,2,Jerry Rice,23.0,4616.0,1600.0,3016.0,0.347,8.0,False,False,True
2,2,Lisa Rinna,20.0,6395.0,802.0,5593.0,0.125,9.0,False,False,True
2,2,Master P,16.0,5050.0,270.0,4781.0,0.053,12.0,False,False,True
2,2,Stacy Keibler,29.0,3786.0,2421.0,1365.0,0.64,8.0,False,False,True
2,2,Tatum O'Neal,17.0,1793.0,539.0,1254.0,0.301,17.0,True,True,True
2,2,Tia Carrere,22.0,4016.0,1188.0,2828.0,0.296,10.5,False,False,True
2,3,Drew Lachey,27.0,3341.0,2629.0,712.0,0.787,9.5,False,False,True
2,3,George Hamilton,22.0,9811.0,1235.0,8577.0,0.126,6.5,False,False,True
2,3,Giselle Fernandez,22.0,3571.0,1251.0,2321.0,0.35,12.5,True,True,True
2,3,Jerry Rice,19.0,5546.0,710.0,4836.0,0.128,11.0,False,False,True
2,3,Lisa Rinna,25.0,5825.0,1738.0,4087.0,0.298,7.0,False,False,True
